Mean, Std, Number, QR
46225.0, 0.0, 1.0, no
0.0, 0.0, 0.0, no
4139.25, 5572.312631439481, 4.0, yes
17998.5, 0.0, 1.0, no
1100.8333333333333, 345.2323694106462, 3.0, yes
0.0, 0.0, 0.0, no
7978.4, 7770.4198432259755, 5.0, yes
46225.0, 0.0, 1.0, no
8818.0, 8014.5, 2.0, yes
39548.0, 0.0, 1.0, no
8159.666666666667, 7032.843537447866, 3.0, yes
25882.5, 0.0, 1.0, no
496.45, 488.85061368479427, 10.0, yes
38707.5, 0.0, 1.0, no
6208.833333333333, 6813.122758487641, 3.0, yes
5670.833333333333, 3318.2458300868684, 3.0, yes
10497.0, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
27304.5, 0.0, 1.0, no
5285.0, 4275.615277360675, 3.0, yes
5234.0, 0.0, 1.0, yes
0.0, 0.0, 0.0, no
4593.0, 6063.205596052306, 5.0, yes
0.0, 0.0, 0.0, no
1096.3, 941.3663792594252, 5.0, yes
2095.75, 702.25, 2.0, yes
19914.75, 19793.75, 2.0, no
11476.75, 10616.75, 2.0, yes
3791.5, 7675.329125679237, 8.0, yes
21643.0, 0.0, 1.0, yes
19138.0, 0.0, 1.0, yes
5059.5, 0.0, 1.0, no
7272.25, 11575.169423706075, 4.0, yes
1354.75, 573.75, 2.0, yes
14333.0, 0.0, 1.0, no
16607.5, 0.0, 1.0, yes
28649.5, 0.0, 1.0, no
2194.0714285714284, 1707.4373117246173, 7.0, yes
6511.25, 6506.523317986343, 4.0, yes
6474.833333333333, 4527.334210719986, 3.0, yes
45203.0, 0.0, 1.0, no
10754.333333333334, 3577.647023145551, 3.0, yes
2041.7222222222222, 2141.8256375644573, 9.0, yes
38562.0, 0.0, 1.0, no
23080.5, 0.0, 1.0, no
350.25, 216.29623783135943, 4.0, yes
0.0, 0.0, 0.0, no
8640.666666666666, 2890.3206953938907, 3.0, yes
9449.5, 15176.519874463975, 4.0, yes
475.0833333333333, 313.21004888448624, 6.0, yes
17022.0, 0.0, 1.0, no
3463.0, 3847.0228424068396, 4.0, yes
36782.5, 0.0, 1.0, no
